Rxn name	Formula	Gene-reaction association	LB	UB	Objective
CYTK1	atp_c[c] + cmp_c[c]  -> adp_c[c] + cdp_c[c] 	RTMO01021	  0.00	1000.00	  0.00
RBFK	atp_c[c] + ribflv_c[c]  -> adp_c[c] + fmn_c[c] 	RTMO04541 or RTMO01896	  0.00	1000.00	  0.00
ARGDC	arg__L_c[c] + h_c[c]  -> agm_c[c] + co2_c[c] 	RTMO02919 or RTMO02204	  0.00	1000.00	  0.00
CTPS2	atp_c[c] + gln__L_c[c] + h2o_c[c] + utp_c[c]  -> adp_c[c] + ctp_c[c] + glu__L_c[c] + 3 h_c[c] + pi_c[c] 	RTMO04823	  0.00	1000.00	  0.00
CBPS	2 atp_c[c] + gln__L_c[c] + h2o_c[c] + hco3_c[c]  -> 2 adp_c[c] + cbp_c[c] + glu__L_c[c] + h_c[c] + pi_c[c] 	RTMO04125 or RTMO03815 or RTMO03813 or RTMO04126	  0.00	1000.00	  0.00
PSP_L	h2o_c[c] + pser__L_c[c]  -> h_c[c] + pi_c[c] + ser__L_c[c] 	RTMO03484	  0.00	1000.00	  0.00
SERAT	accoa_c[c] + ser__L_c[c]  -> acser_c[c] + coa_c[c] 	RTMO04866	  0.00	1000.00	  0.00
TMDPPK	atp_c[c] + 3 h_c[c] + thmpp_c[c]  -> adp_c[c] + thmtp_c[c] 	RTMO04039	  0.00	1000.00	  0.00
TMPK	atp_c[c] + thmmp_c[c]  -> adp_c[c] + thmpp_c[c] 	RTMO00250	  0.00	1000.00	  0.00
ENO	2pg_c[c]  -> h2o_c[c] + pep_c[c] 	RTMO02318	  0.00	1000.00	  0.00
TRPS2	indole_c[c] + ser__L_c[c]  -> h2o_c[c] + trp__L_c[c] 	RTMO03793 or RTMO03794	  0.00	1000.00	  0.00
TYRTA	34hpp_c[c] + glu__L_c[c]  -> akg_c[c] + tyr__L_c[c] 	RTMO00246 or RTMO04309 or RTMO03795 or RTMO00859 or RTMO03134 or RTMO03310	  0.00	1000.00	  0.00
