Rxn name	Formula	Gene-reaction association	LB	UB	Objective
BTS5	2fe2s_c[c] + amet_c[c] + dtbt_c[c]  -> 2fe1s_c[c] + btn_c[c] + dad_5_c[c] + h_c[c] + met__L_c[c] 	RTMO06164	  0.00	1000.00	  0.00
I2FE2SR	2fe1s_c[c] + enzscys_c[c]  -> 2fe2s_c[c] + enzcys_c[c] 	RTMO06165	  0.00	1000.00	  0.00
DBTS	atp_c[c] + co2_c[c] + dann_c[c]  -> adp_c[c] + dtbt_c[c] + 3 h_c[c] + pi_c[c] 	RTMO06166	  0.00	1000.00	  0.00
AMAOTr	8aonn_c[c] + amet_c[c]  -> amob_c[c] + dann_c[c] 	RTMO06167	  0.00	1000.00	  0.00
DM_amob_c	amob_c[c]  -> 	RTMO06168	  0.00	1000.00	  0.00
AOXSr	ala__L_c[c] + pimcoa_c[c]  -> 8aonn_c[c] + co2_c[c] + coa_c[c] + 4 h_c[c] 	RTMO06169	  0.00	1000.00	  0.00
PMEACP	ACP_c[c] + pimcoa_c[c]  -> coa_c[c] + 4 h_c[c] + pimACP_c[c] 	RTMO06170	  0.00	1000.00	  0.00
PMES	2 fmnh2_c[c] + 3 o2_c[c] + palmACP_c[c]  -> 2 fmn_c[c] + 3 h2o_c[c] + nonal_c[c] + pimACP_c[c] 	RTMO06171	  0.00	1000.00	  0.00
DM_nonal_c	nonal_c[c]  -> 	RTMO06172	  0.00	1000.00	  0.00
BLUB	fmnh2_c[c] + o2_c[c]  -> diur_c[c] + dmbzid_c[c] + e4p_c[c] + h_c[c] 	RTMO06173	  0.00	1000.00	  0.00
DM_diur_c	diur_c[c]  -> 	RTMO06174	  0.00	1000.00	  0.00
SHCHF	fe2_c[c] + scl_c[c]  -> 3 h_c[c] + sheme_c[c] 	RTMO06175	  0.00	1000.00	  0.00
SHCHD2	nad_c[c] + shcl_c[c]  -> nadh_c[c] + scl_c[c] 	RTMO06176	  0.00	1000.00	  0.00
PRE3MT	amet_c[c] + pre3a_c[c]  -> ahcys_c[c] + h_c[c] + pre4a_c[c] 	RTMO06177	  0.00	1000.00	  0.00
SHCLCC	cobalt2_c[c] + pre5a_c[c]  -> copre5a_c[c] + 2 h_c[c] 	RTMO06178	  0.00	1000.00	  0.00
PRE5H	copre5a_c[c] + h2o_c[c]  -> acald_c[c] + copre5b_c[c] 	RTMO06179	  0.00	1000.00	  0.00
CO6AS	amet_c[c] + copre5b_c[c]  -> ahcys_c[c] + copre6a_c[c] 	RTMO06180	  0.00	1000.00	  0.00
CO6AR	copre6a_c[c] + h_c[c] + nadh_c[c]  -> copre6b_c[c] + nad_c[c] 	RTMO06181	  0.00	1000.00	  0.00
CO6MT	2 amet_c[c] + copre6b_c[c]  -> 2 ahcys_c[c] + co2_c[c] + copre8_c[c] + 2 h_c[c] 	RTMO06182	  0.00	1000.00	  0.00
CO8MM	copre8_c[c]  -> cobya_c[c] 	RTMO06183	  0.00	1000.00	  0.00
CO2DS	2 atp_c[c] + cobya_c[c] + 2 gln__L_c[c] + 2 h2o_c[c]  -> 2 adp_c[c] + co2dam_c[c] + 2 glu__L_c[c] + 4 h_c[c] + 2 pi_c[c] 	RTMO06184	  0.00	1000.00	  0.00
GAPD	g3p_c[c] + nad_c[c] + pi_c[c]  -> 13dpg_c[c] + nadh_c[c] 	RTMO06185	  0.00	1000.00	  0.00
HSERTA	accoa_c[c] + hom__L_c[c]  -> achms_c[c] + coa_c[c] 	RTMO06186	  0.00	1000.00	  0.00
UREA2tabc	atp_c[c] + h2o_c[c] + urea_e[e]  -> adp_c[c] + h_c[c] + pi_c[c] + urea_c[c] 	RTMO06194	  0.00	1000.00	  0.00
EX_urea_e	urea_e[e]  -> 		  0.00	1000.00	  0.00
ASPO6s	asp__L_c[c] + fum_c[c]  -> h_c[c] + iasp_c[c] + succ_c[c] 	RTMO06195	  0.00	1000.00	  0.00
R07003	C14787_c[c] + gthrd_c[c]  -> C14793_c[c] 		  0.00	1000.00	  0.00
R07002	C14786_c[c] + gthrd_c[c]  -> C14791_c[c] 		  0.00	1000.00	  0.00
R07004	C14787_c[c] + gthrd_c[c]  -> C14792_c[c] 		  0.00	1000.00	  0.00
R07411	frdp_c[c] + h2o_c[c] + pheme_c[c]  -> hemeO_c[c] + ppi_c[c] 		  0.00	1000.00	  0.00
R10267	C04856_c[c] + adp_c[c]  -> amp_c[c] + nadh_c[c] + pi_c[c] 		  0.00	1000.00	  0.00
R10268	C04899_c[c] + adp_c[c]  -> amp_c[c] + nadph_c[c] + pi_c[c] 		  0.00	1000.00	  0.00
R11372	C21310_c[c] + h2o_c[c]  -> C18239_c[c] + ppi_c[c] 		  0.00	1000.00	  0.00
R05789	C11536_c[c] + h2o_c[c]  -> C11537_c[c] + pi_c[c] 		  0.00	1000.00	  0.00
R11026	C21028_c[c] + nad_c[c]  -> C00178_c[c] + h_c[c] + nadh_c[c] 		  0.00	1000.00	  0.00
R09796	lac__D_c[c]  -> h2o_c[c] + mthgxl_c[c] 		  0.00	1000.00	  0.00
R02317	C00450_c[c] + h2o_c[c]  -> C04076_c[c] 		  0.00	1000.00	  0.00
R08700	C00868_c[c] + atp_c[c] + enzscys_c[c]  -> C17322_c[c] + amp_c[c] + enzcys_c[c] + ppi_c[c] 		  0.00	1000.00	  0.00
R07461	ascp_c[c] + enzscys_c[c] + hacc_c[c]  -> acc_c[c] + amp_c[c] + enzcys_c[c] + tcscp_c[c] 		  0.00	1000.00	  0.00
R12424	2 C22150_c[c] + C22154_c[c] + C22159_c[c] + 2 amet_c[c] + 8 h_c[c]  -> 2 C22151_c[c] + C22155_c[c] + 2 dad_5_c[c] + dhlpro_c[c] + 4 fe2_c[c] + 2 h2s_c[c] + 2 met__L_c[c] 		  0.00	1000.00	  0.00
R12425	C22158_c[c] + C22159_c[c]  -> C22157_c[c] + C22160_c[c] 		  0.00	1000.00	  0.00
R12423	2 C22150_c[c] + C22154_c[c] + C22160_c[c] + 2 amet_c[c] + 8 h_c[c]  -> 2 C22151_c[c] + C22155_c[c] + 2 dad_5_c[c] + edhyl_c[c] + 4 fe2_c[c] + 2 h2s_c[c] + 2 met__L_c[c] 		  0.00	1000.00	  0.00
R07767	C16236_c[c] + 2 C22150_c[c] + C22154_c[c] + 2 amet_c[c] + 8 h_c[c]  -> C16832_c[c] + 2 C22151_c[c] + C22155_c[c] + 2 dad_5_c[c] + 4 fe2_c[c] + 2 h2s_c[c] + 2 met__L_c[c] 		  0.00	1000.00	  0.00
R03508	2cpr5p_c[c]  -> 3ig3p_c[c] + co2_c[c] + h2o_c[c] 		  0.00	1000.00	  0.00
R07092	C14857_c[c] + gthrd_c[c]  -> C14865_c[c] + cl_c[c] 		  0.00	1000.00	  0.00
R07113	C11088_c[c] + gthrd_c[c] + h_c[c]  -> 2 C13645_c[c] + C14874_c[c] 		  0.00	1000.00	  0.00
R01821	pi_c[c]  -> amylose_c[c] + g1p_c[c] 		  0.00	1000.00	  0.00
R02111	pi_c[c] + starch_e[e]  -> amylose_c[c] + g1p_c[c] 		  0.00	1000.00	  0.00
R03940	10fthf_c[c] + mettrna_c[c]  -> C03294_c[c] + thf_c[c] 		  0.00	1000.00	  0.00
R05688	2me4p_c[c] + nadp_c[c]  -> dxyl5p_c[c] + h_c[c] + nadph_c[c] 		  0.00	1000.00	  0.00
R01185	C01177_c[c] + h2o_c[c]  -> inost_c[c] + pi_c[c] 		  0.00	1000.00	  0.00
R01187	C04006_c[c] + h2o_c[c]  -> inost_c[c] + pi_c[c] 		  0.00	1000.00	  0.00
R01186	C03546_c[c] + h2o_c[c]  -> inost_c[c] + pi_c[c] 		  0.00	1000.00	  0.00
R07026	C14800_c[c] + gthrd_c[c]  -> C14806_c[c] 		  0.00	1000.00	  0.00
R07025	C14800_c[c] + gthrd_c[c]  -> C14805_c[c] 		  0.00	1000.00	  0.00
R07024	C14802_c[c] + gthrd_c[c]  -> C14804_c[c] 		  0.00	1000.00	  0.00
R07023	C14802_c[c] + gthrd_c[c]  -> C14803_c[c] 		  0.00	1000.00	  0.00
R07094	C14865_c[c] + gthrd_c[c]  -> C14863_c[c] + cl_c[c] 		  0.00	1000.00	  0.00
R07070	C14840_c[c] + gthrd_c[c]  -> C14848_c[c] 		  0.00	1000.00	  0.00
R07393	dkmpp_c[c]  -> hkmpp_c[c] 		  0.00	1000.00	  0.00
R07116	C14870_c[c] + gthrd_c[c]  -> C13645_c[c] + C14871_c[c] 		  0.00	1000.00	  0.00
R03531	C01345_c[c] + h2o_c[c]  -> C06196_c[c] + ppi_c[c] 		  0.00	1000.00	  0.00
R05389	hmccm_c[c]  -> 2omcm_c[c] 		  0.00	1000.00	  0.00
R11098	C20905_c[c] + h2o_c[c]  -> 2obut_c[c] + nh4_c[c] 		  0.00	1000.00	  0.00
R11099	C20904_c[c] + h2o_c[c]  -> nh4_c[c] + pyr_c[c] 		  0.00	1000.00	  0.00
R11959	C19792_c[c] + pi_c[c]  -> g1p_c[c] + glyc__R_c[c] 		  0.00	1000.00	  0.00
R02540	h2o_c[c] + pad_c[c]  -> C07086_c[c] + nh4_c[c] 		  0.00	1000.00	  0.00
R07069	C14839_c[c] + gthrd_c[c]  -> C14847_c[c] 		  0.00	1000.00	  0.00
R03299	3hoxpac_c[c] + h_c[c] + nadh_c[c] + o2_c[c]  -> 34dhpha_c[c] + h2o_c[c] + nad_c[c] 		  0.00	1000.00	  0.00
R03093	2 h2o_c[c] + ind3acnl_c[c]  -> ind3ac_c[c] + nh4_c[c] 		  0.00	1000.00	  0.00
R07083	C14851_c[c] + gthrd_c[c]  -> C14855_c[c] 		  0.00	1000.00	  0.00
R00350	C04115_c[c]  -> oaa_c[c] + pyr_c[c] 		  0.00	1000.00	  0.00
R08280	C07645_c[c] + gthrd_c[c]  -> C11583_c[c] + h2o_c[c] 		  0.00	1000.00	  0.00
R03180	4gudbd_c[c] + h2o_c[c]  -> 4gudbutn_c[c] + nh4_c[c] 		  0.00	1000.00	  0.00
R05298	ppal_c[c] + pyr_c[c]  -> C06762_c[c] 		  0.00	1000.00	  0.00
R00750	acald_c[c] + pyr_c[c]  -> 4h2opntn_c[c] 		  0.00	1000.00	  0.00
R00008	C06033_c[c]  -> 2 pyr_c[c] 		  0.00	1000.00	  0.00
R09279	C00989_c[c] + atp_c[c] + coa_c[c]  -> C11062_c[c] + amp_c[c] + ppi_c[c] 		  0.00	1000.00	  0.00
R02698	4hoxpac_c[c] + h_c[c] + nadh_c[c] + o2_c[c]  -> 34dhpha_c[c] + h2o_c[c] + nad_c[c] 		  0.00	1000.00	  0.00
R01655	h2o_c[c] + methf_c[c]  -> 10fthf_c[c] + h_c[c] 		  0.00	1000.00	  0.00
R12548	C01764_c[c] + h_c[c] + mlthf_c[c] + nadh_c[c]  -> C03446_c[c] + nad_c[c] + thf_c[c] 		  0.00	1000.00	  0.00
R03704	C01764_c[c] + fadh2_c[c] + mlthf_c[c]  -> C03446_c[c] + fad_c[c] + thf_c[c] 		  0.00	1000.00	  0.00
R01414	C00906_c[c] + nad_c[c]  -> C00178_c[c] + h_c[c] + nadh_c[c] 		  0.00	1000.00	  0.00
R00977	56dura_c[c] + nad_c[c]  -> h_c[c] + nadh_c[c] + ura_c[c] 		  0.00	1000.00	  0.00
R04420	5mdr1p_c[c]  -> 5mdru1p_c[c] 		  0.00	1000.00	  0.00
R00251	C01879_c[c] + atp_c[c] + 2 h2o_c[c]  -> adp_c[c] + glu__L_c[c] + pi_c[c] 		  0.00	1000.00	  0.00
R10002	cph4_c[c]  -> cdg_c[c] + nh4_c[c] 		  0.00	1000.00	  0.00
R10221	6pgc_c[c] + nad_c[c]  -> co2_c[c] + h_c[c] + nadh_c[c] + ru5p__D_c[c] 		  0.00	1000.00	  0.00
R07084	C14852_c[c] + gthrd_c[c]  -> C14856_c[c] + h2o_c[c] 		  0.00	1000.00	  0.00
R09959	ahdt_c[c] + h2o_c[c]  -> acald_c[c] + cph4_c[c] + pppi_c[c] 		  0.00	1000.00	  0.00
R07605	2 nadp_c[c] + preq1_c[c]  -> 2 h_c[c] + 2 nadph_c[c] + preq0_c[c] 		  0.00	1000.00	  0.00
R09978	atp_c[c] + cdg_c[c] + nh4_c[c]  -> adp_c[c] + h2o_c[c] + pi_c[c] + preq0_c[c] 		  0.00	1000.00	  0.00
R00321	ad_c[c] + h2o_c[c]  -> ac_c[c] + nh4_c[c] 		  0.00	1000.00	  0.00
R05735	acetone_c[c] + 2 atp_c[c] + 3 h2o_c[c] + hco3_c[c]  -> acac_c[c] + 2 amp_c[c] + 4 pi_c[c] 		  0.00	1000.00	  0.00
R12241	C02133_c[c] + glyc3p_c[c]  -> aglyc3p_c[c] + pi_c[c] 		  0.00	1000.00	  0.00
R12240	C00173_c[c] + pi_c[c]  -> ACP_c[c] + C02133_c[c] 		  0.00	1000.00	  0.00
R05590	C09815_c[c] + h2o_c[c]  -> C00180_c[c] + nh4_c[c] 		  0.00	1000.00	  0.00
R09735	C06232_c[c] + mptamp_c[c]  -> C18237_c[c] + amp_c[c] + h2o_c[c] 		  0.00	1000.00	  0.00
R10159	2 adfdRD_c[c] + h_c[c] + nadp_c[c]  -> 2 C00667_c[c] + nadph_c[c] 		  0.00	1000.00	  0.00
R07210	C15521_c[c] + fmnh2_c[c] + o2_c[c]  -> C00071_c[c] + fmn_c[c] + h2o_c[c] + so3_c[c] 		  0.00	1000.00	  0.00
R03542	aprop_c[c] + 2 h2o_c[c]  -> ala__L_c[c] + nh4_c[c] 		  0.00	1000.00	  0.00
R04238	C03880_c[c] + h2o_c[c]  -> C00066_c[c] + C03523_c[c] 		  0.00	1000.00	  0.00
R10927	C11215_c[c] + trdrd_c[c]  -> C06697_c[c] + h2o_c[c] + trdox_c[c] 		  0.00	1000.00	  0.00
R04911	C05648_c[c] + h2o_c[c]  -> C05651_c[c] + for_c[c] 		  0.00	1000.00	  0.00
R11090	C00613_c[c] + atp_c[c]  -> C21101_c[c] + adp_c[c] 		  0.00	1000.00	  0.00
R02240	C00641_c[c] + atp_c[c]  -> adp_c[c] + pa_c[c] 		  0.00	1000.00	  0.00
R08233	C11736_c[c] + atp_c[c]  -> C04242_c[c] + adp_c[c] 		  0.00	1000.00	  0.00
R00315	ac_c[c] + atp_c[c]  -> actp_c[c] + adp_c[c] 		  0.00	1000.00	  0.00
R01786	C00267_c[c] + atp_c[c]  -> adp_c[c] + g6p_A_c[c] 		  0.00	1000.00	  0.00
R01600	C00221_c[c] + atp_c[c]  -> adp_c[c] + g6p_B_c[c] 		  0.00	1000.00	  0.00
R00512	atp_c[c] + cmp_c[c]  -> adp_c[c] + cdp_c[c] 		  0.00	1000.00	  0.00
R01665	atp_c[c] + dcmp_c[c]  -> adp_c[c] + dcdp_c[c] 		  0.00	1000.00	  0.00
R02099	atp_c[c] + duri_c[c]  -> adp_c[c] + dump_c[c] 		  0.00	1000.00	  0.00
R00299	atp_c[c] + glc__D_c[c]  -> adp_c[c] + g6p_c[c] 		  0.00	1000.00	  0.00
R09726	C05924_c[c] + atp_c[c]  -> mptamp_c[c] + ppi_c[c] 		  0.00	1000.00	  0.00
R00435	atp_c[c]  -> C00046_c[c] + ppi_c[c] 		  0.00	1000.00	  0.00
R01353	atp_c[c] + prpnte_c[c]  -> adp_c[c] + ppap_c[c] 		  0.00	1000.00	  0.00
R03632	C01609_c[c] + atp_c[c]  -> C02729_c[c] + adp_c[c] 		  0.00	1000.00	  0.00
R00162	C00017_c[c] + atp_c[c]  -> C00562_c[c] + adp_c[c] 		  0.00	1000.00	  0.00
R03595	atp_c[c] + h2o_c[c] + seln_c[c]  -> C05172_c[c] + amp_c[c] + pi_c[c] 		  0.00	1000.00	  0.00
R01567	atp_c[c] + thymd_c[c]  -> adp_c[c] + dtmp_c[c] 		  0.00	1000.00	  0.00
R09386	C19080_c[c] + atp_c[c]  -> C19085_c[c] + ppi_c[c] 		  0.00	1000.00	  0.00
R00158	atp_c[c] + ump_c[c]  -> adp_c[c] + udp_c[c] 		  0.00	1000.00	  0.00
R01422	C00180_c[c] + atp_c[c] + coa_c[c]  -> C00512_c[c] + amp_c[c] + ppi_c[c] 		  0.00	1000.00	  0.00
R11398	C21336_c[c] + pi_c[c]  -> man1p_c[c] + man_c[c] 		  0.00	1000.00	  0.00
R04562	C04735_c[c] + atp_c[c] + btn_c[c]  -> C04681_c[c] + amp_c[c] + ppi_c[c] 		  0.00	1000.00	  0.00
R01074	atp_c[c] + btn_c[c]  -> b5amp_c[c] + ppi_c[c] 		  0.00	1000.00	  0.00
R05145	C06249_c[c] + b5amp_c[c]  -> amp_c[c] + btnCCP_c[c] 		  0.00	1000.00	  0.00
R10534	C19033_c[c] + h2o_c[c]  -> C07331_c[c] + h2s_c[c] 		  0.00	1000.00	  0.00
R10538	C19033_c[c] + 2 h2o_c[c]  -> co2_c[c] + 2 h2s_c[c] 		  0.00	1000.00	  0.00
R10535	C07331_c[c] + h2o_c[c]  -> co2_c[c] + h2s_c[c] 		  0.00	1000.00	  0.00
R07093	C14859_c[c] + gthrd_c[c]  -> C14864_c[c] + cl_c[c] 		  0.00	1000.00	  0.00
R01625	C03688_c[c] + coa_c[c]  -> ACP_c[c] + pap_c[c] 		  0.00	1000.00	  0.00
R05810	amet_c[c] + copre4_c[c]  -> ahcys_c[c] + copre5a_c[c] 		  0.00	1000.00	  0.00
R09382	C02211_c[c] + atp_c[c] + 2 ctp_c[c]  -> C19085_c[c] + 3 ppi_c[c] 		  0.00	1000.00	  0.00
R00442	ctp_c[c]  -> C00046_c[c] + ppi_c[c] 		  0.00	1000.00	  0.00
R09383	C02211_c[c] + ctp_c[c]  -> C19078_c[c] + ppi_c[c] 		  0.00	1000.00	  0.00
R09384	C19078_c[c] + ctp_c[c]  -> C19080_c[c] + ppi_c[c] 		  0.00	1000.00	  0.00
R12345	C20565_c[c] + h2o_c[c]  -> C22092_c[c] 		  0.00	1000.00	  0.00
R01122	C17324_c[c] + dmpp_c[c]  -> C04432_c[c] + ppi_c[c] 		  0.00	1000.00	  0.00
R00375	datp_c[c]  -> C00039_c[c] + ppi_c[c] 		  0.00	1000.00	  0.00
R00377	dctp_c[c]  -> C00039_c[c] + ppi_c[c] 		  0.00	1000.00	  0.00
R00376	dgtp_c[c]  -> C00039_c[c] + ppi_c[c] 		  0.00	1000.00	  0.00
R00378	dttp_c[c]  -> C00039_c[c] + ppi_c[c] 		  0.00	1000.00	  0.00
R10619	gal_c[c]  -> gal_e[e] 		  0.00	1000.00	  0.00
R01602	C00267_c[c]  -> C00221_c[c] 		  0.00	1000.00	  0.00
R01579	C00819_c[c] + h2o_c[c]  -> glu__D_c[c] + nh4_c[c] 		  0.00	1000.00	  0.00
R11457	C11142_c[c] + fmnh2_c[c] + o2_c[c]  -> C21398_c[c] + fald_c[c] + fmn_c[c] + h2o_c[c] 		  0.00	1000.00	  0.00
R04314	C02743_c[c] + C04250_c[c]  -> C03800_c[c] + C11475_c[c] 		  0.00	1000.00	  0.00
R08247	C08353_c[c]  -> C16639_c[c] 		  0.00	1000.00	  0.00
R00749	etha_c[c]  -> acald_c[c] + nh4_c[c] 		  0.00	1000.00	  0.00
R10613	C19803_c[c] + fad_c[c]  -> C20730_c[c] + amp_c[c] 		  0.00	1000.00	  0.00
R09748	fadh2_c[c] + nad_c[c]  -> fad_c[c] + h_c[c] + nadh_c[c] 		  0.00	1000.00	  0.00
R09520	fad_c[c] + h_c[c] + nadph_c[c]  -> fadh2_c[c] + nadp_c[c] 		  0.00	1000.00	  0.00
R12002	C21284_c[c] + 2 amet_c[c]  -> 2 co2_c[c] + 2 dad_5_c[c] + 2 met__L_c[c] + pheme_c[c] 		  0.00	1000.00	  0.00
R01195	2 fdxrd_c[c] + h_c[c] + nadp_c[c]  -> 2 fdxox_c[c] + nadph_c[c] 		  0.00	1000.00	  0.00
R00082	4 C01000_c[c] + o2_c[c]  -> 4 C00997_c[c] + 2 h2o_c[c] 		  0.00	1000.00	  0.00
R00081	4 focytC_c[c] + 4 h_c[c] + o2_c[c]  -> 4 ficytc_c[c] + 2 h2o_c[c] 		  0.00	1000.00	  0.00
R07412	2 acc_c[c] + h2o_c[c] + hemeO_c[c]  -> C15670_c[c] + 2 hacc_c[c] 		  0.00	1000.00	  0.00
R05706	fmnh2_c[c] + nadp_c[c]  -> fmn_c[c] + h_c[c] + nadph_c[c] 		  0.00	1000.00	  0.00
R05635	C11439_c[c] + h2o_c[c]  -> C11440_c[c] + for_c[c] 		  0.00	1000.00	  0.00
R01887	acybut_c[c] + 2 h2o_c[c]  -> glu__L_c[c] + nh4_c[c] 		  0.00	1000.00	  0.00
R08910	C18005_c[c]  -> C01879_c[c] + C17586_c[c] 		  0.00	1000.00	  0.00
R09409	C19586_c[c] + gthrd_c[c]  -> C11278_c[c] 		  0.00	1000.00	  0.00
R03905	C02282_c[c] + adp_c[c] + glu__L_c[c] + pi_c[c]  -> atp_c[c] + gln__L_c[c] + glutrna_gln_c[c] + h2o_c[c] 		  0.00	1000.00	  0.00
R00857	C03120_c[c] + h2o_c[c]  -> C00069_c[c] + glyc3p_c[c] 		  0.00	1000.00	  0.00
R00476	acc_c[c] + glyclt_c[c]  -> glx_c[c] + hacc_c[c] 		  0.00	1000.00	  0.00
R09394	amet_c[c] + gtp_c[c] + hacc_c[c]  -> C21310_c[c] + acc_c[c] + dad_5_c[c] + met__L_c[c] 		  0.00	1000.00	  0.00
R00441	gtp_c[c]  -> C00046_c[c] + ppi_c[c] 		  0.00	1000.00	  0.00
R02462	C00823_c[c] + nad_c[c]  -> C00517_c[c] + h_c[c] + nadh_c[c] 		  0.00	1000.00	  0.00
R07182	acc_c[c] + h2_c[c]  -> hacc_c[c] 		  0.00	1000.00	  0.00
R09095	C11903_c[c] + h2_c[c]  -> C11904_c[c] 		  0.00	1000.00	  0.00
R01768	h2o_c[c] + hxan_c[c] + nad_c[c]  -> h_c[c] + nadh_c[c] + xan_c[c] 		  0.00	1000.00	  0.00
R03096	h2o_c[c] + iad_c[c]  -> ind3ac_c[c] + nh4_c[c] 		  0.00	1000.00	  0.00
R00720	h2o_c[c] + itp_c[c]  -> imp_c[c] + ppi_c[c] 		  0.00	1000.00	  0.00
R08243	C16617_c[c] + h2o_c[c]  -> 6tins5mp_c[c] + ppi_c[c] 		  0.00	1000.00	  0.00
R00719	h2o_c[c] + itp_c[c]  -> idp_c[c] + pi_c[c] 		  0.00	1000.00	  0.00
R03038	C01635_c[c] + ala__L_c[c] + atp_c[c]  -> C00886_c[c] + amp_c[c] + ppi_c[c] 		  0.00	1000.00	  0.00
R10938	LalaDglu_c[c]  -> LalaLglu_c[c] 		  0.00	1000.00	  0.00
R03646	C01636_c[c] + arg__L_c[c] + atp_c[c]  -> C02163_c[c] + amp_c[c] + ppi_c[c] 		  0.00	1000.00	  0.00
R00485	asn__L_c[c] + h2o_c[c]  -> asp__L_c[c] + nh4_c[c] 		  0.00	1000.00	  0.00
R03648	C01637_c[c] + asn__L_c[c] + atp_c[c]  -> C03402_c[c] + amp_c[c] + ppi_c[c] 		  0.00	1000.00	  0.00
R00489	asp__L_c[c]  -> ala_B_c[c] + co2_c[c] 		  0.00	1000.00	  0.00
R05577	C01638_c[c] + asp__L_c[c] + atp_c[c]  -> amp_c[c] + asptrna_c[c] + ppi_c[c] 		  0.00	1000.00	  0.00
R01286	cyst__L_c[c] + h2o_c[c]  -> hcys__L_c[c] + nh4_c[c] + pyr_c[c] 		  0.00	1000.00	  0.00
R00782	cys__L_c[c] + h2o_c[c]  -> h2s_c[c] + nh4_c[c] + pyr_c[c] 		  0.00	1000.00	  0.00
R03923	C02342_c[c] + cys__L_c[c]  -> C04161_c[c] + ser__L_c[c] 		  0.00	1000.00	  0.00
R03650	C01639_c[c] + atp_c[c] + cys__L_c[c]  -> C03125_c[c] + amp_c[c] + ppi_c[c] 		  0.00	1000.00	  0.00
R03528	C02882_c[c] + h2o_c[c]  -> C01336_c[c] + nh4_c[c] + pyr_c[c] 		  0.00	1000.00	  0.00
R12188	C02882_c[c] + h2o_c[c]  -> C00145_c[c] + nh4_c[c] + pyr_c[c] 		  0.00	1000.00	  0.00
R02408	cysi__L_c[c] + h2o_c[c]  -> nh4_c[c] + pyr_c[c] + thcys_c[c] 		  0.00	1000.00	  0.00
R05578	atp_c[c] + glu__L_c[c] + trnaglu_c[c]  -> amp_c[c] + glutrna_c[c] + ppi_c[c] 		  0.00	1000.00	  0.00
R03313	glu5sa_c[c] + nadp_c[c] + pi_c[c]  -> glu5p_c[c] + h_c[c] + nadph_c[c] 		  0.00	1000.00	  0.00
R00256	gln__L_c[c] + h2o_c[c]  -> glu__L_c[c] + nh4_c[c] 		  0.00	1000.00	  0.00
R03655	C01643_c[c] + atp_c[c] + his__L_c[c]  -> C02988_c[c] + amp_c[c] + ppi_c[c] 		  0.00	1000.00	  0.00
R03656	C01644_c[c] + atp_c[c] + ile__L_c[c]  -> C03127_c[c] + amp_c[c] + ppi_c[c] 		  0.00	1000.00	  0.00
R03657	C01645_c[c] + atp_c[c] + leu__L_c[c]  -> C02047_c[c] + amp_c[c] + ppi_c[c] 		  0.00	1000.00	  0.00
R00446	h2o_c[c] + lys__L_c[c] + nad_c[c]  -> C04076_c[c] + h_c[c] + nadh_c[c] + nh4_c[c] 		  0.00	1000.00	  0.00
R10054	lys__L_c[c] + nad_c[c]  -> C00450_c[c] + h_c[c] + nadh_c[c] + nh4_c[c] 		  0.00	1000.00	  0.00
R03658	C01646_c[c] + atp_c[c] + lys__L_c[c]  -> C01931_c[c] + amp_c[c] + ppi_c[c] 		  0.00	1000.00	  0.00
R07606	h2o_c[c] + met__L_c[c] + trdox_c[c]  -> C15999_c[c] + trdrd_c[c] 		  0.00	1000.00	  0.00
R03659	C01647_c[c] + atp_c[c] + met__L_c[c]  -> amp_c[c] + mettrna_c[c] + ppi_c[c] 		  0.00	1000.00	  0.00
R01998	C00339_c[c] + h2o_c[c] + 2 nad_c[c]  -> C00347_c[c] + 2 h_c[c] + 2 nadh_c[c] 		  0.00	1000.00	  0.00
R00390	C00638_c[c] + atp_c[c] + coa_c[c]  -> C02843_c[c] + amp_c[c] + ppi_c[c] 		  0.00	1000.00	  0.00
R03660	C01648_c[c] + atp_c[c] + phe__L_c[c]  -> C03511_c[c] + amp_c[c] + ppi_c[c] 		  0.00	1000.00	  0.00
R03661	C01649_c[c] + atp_c[c] + pro__L_c[c]  -> C02702_c[c] + amp_c[c] + ppi_c[c] 		  0.00	1000.00	  0.00
R10819	C02476_c[c]  -> C02338_c[c] 		  0.00	1000.00	  0.00
R03662	C01650_c[c] + atp_c[c] + ser__L_c[c]  -> amp_c[c] + ppi_c[c] + sertrna_c[c] 		  0.00	1000.00	  0.00
R08218	C16636_c[c] + atp_c[c] + ser__L_c[c]  -> C06481_c[c] + amp_c[c] + ppi_c[c] 		  0.00	1000.00	  0.00
R03663	C01651_c[c] + atp_c[c] + thr__L_c[c]  -> C02992_c[c] + amp_c[c] + ppi_c[c] 		  0.00	1000.00	  0.00
R10648	C17324_c[c] + C20641_c[c]  -> C20751_c[c] + amp_c[c] 		  0.00	1000.00	  0.00
R03664	C01652_c[c] + atp_c[c] + trp__L_c[c]  -> C03512_c[c] + amp_c[c] + ppi_c[c] 		  0.00	1000.00	  0.00
R02918	C00787_c[c] + atp_c[c] + tyr__L_c[c]  -> C02839_c[c] + amp_c[c] + ppi_c[c] 		  0.00	1000.00	  0.00
R03665	C01653_c[c] + atp_c[c] + val__L_c[c]  -> C02554_c[c] + amp_c[c] + ppi_c[c] 		  0.00	1000.00	  0.00
R01626	ACP_c[c] + malcoa_c[c]  -> coa_c[c] + malACP_c[c] 		  0.00	1000.00	  0.00
